method_id,size_category,median_ap,mean_ap,n_units
CaSee,large,0.6549907263794117,0.5538865470321677,80
CaSee,medium,0.06753120026427796,0.20968616090766717,60
CaSee,small,0.749126165138682,0.6850639354174437,20
DeepScena,large,0.01691288576898308,0.029777994578623707,80
DeepScena,medium,0.014405064481228358,0.02795960612426235,40
DeepScena,small,0.020238027030646075,0.029085165328178,20
FiRE,large,0.34171027591748393,0.36840597394069396,80
FiRE,medium,0.2332688457444361,0.2765452487442005,60
FiRE,small,0.8374987062364481,0.7769655919107878,20
RareQ,large,0.26834717837905936,0.3004567726964961,80
RareQ,medium,0.20893971172122566,0.23733398742898365,60
RareQ,small,0.13114872741204386,0.13566795384385233,20
cellsius,large,0.24140382815612532,0.2973044303037736,80
cellsius,medium,0.2834504771621168,0.2577081772456246,60
cellsius,small,0.1782789790854307,0.20038875310192078,20
expr_threshold,large,0.16977225672877846,0.263291795220833,80
expr_threshold,medium,0.40046954350804376,0.34893003877716466,60
expr_threshold,small,0.8708966527731333,0.7871806224597766,20
hvg_logreg,large,1.0,0.9995321678140142,80
hvg_logreg,medium,1.0,0.7573916875966613,60
hvg_logreg,small,1.0,1.0,20
random_baseline,large,0.02675291616970326,0.044653475974804825,80
random_baseline,medium,0.015482852438967694,0.029347793903395116,60
random_baseline,small,0.02006316568344769,0.0315510409771053,20
scCAD,large,0.26247577195945415,0.3097635631883051,80
scCAD,medium,0.061412649155587515,0.1360058361718555,40
scCAD,small,0.057314588606833035,0.07195094257504366,20
scMalignantFinder,large,0.4262745082219628,0.4604220897888537,80
scMalignantFinder,medium,0.19415605573858796,0.228387917837292,60
scMalignantFinder,small,0.014569172755300046,0.027795188850198733,20
