method_id,platform,median_ap,mean_ap,n_units
CaSee,10x_chromium,0.4974769983653421,0.40637209583595324,140
CaSee,SMARTseq2,0.749126165138682,0.6850639354174437,20
DeepScena,10x_chromium,0.01691288576898308,0.029171865093836586,120
DeepScena,SMARTseq2,0.020238027030646075,0.029085165328178,20
FiRE,10x_chromium,0.2721486291398049,0.32903709171362533,140
FiRE,SMARTseq2,0.8374987062364481,0.7769655919107878,20
RareQ,10x_chromium,0.24621332548909491,0.27340415043899075,140
RareQ,SMARTseq2,0.13114872741204386,0.13566795384385233,20
cellsius,10x_chromium,0.25864436559354087,0.2803346075645669,140
cellsius,SMARTseq2,0.1782789790854307,0.20038875310192078,20
expr_threshold,10x_chromium,0.19996097471324564,0.299993899602118,140
expr_threshold,SMARTseq2,0.8708966527731333,0.7871806224597766,20
hvg_logreg,10x_chromium,1.0,0.8957576762922915,140
hvg_logreg,SMARTseq2,1.0,1.0,20
random_baseline,10x_chromium,0.019149536613170287,0.038093897944200664,140
random_baseline,SMARTseq2,0.02006316568344769,0.0315510409771053,20
scCAD,10x_chromium,0.17857422251963107,0.2518443208494886,120
scCAD,SMARTseq2,0.057314588606833035,0.07195094257504366,20
scMalignantFinder,10x_chromium,0.28994771073293135,0.3609788732381844,140
scMalignantFinder,SMARTseq2,0.014569172755300046,0.027795188850198733,20
