method_id,mean,sem,count,rank,ci95_low,ci95_high
hvg_logreg,1.625,0.625,8,1.625,1.0,2.85
CaSee,3.75,0.7961963146288555,8,3.75,2.1894552233274434,5.310544776672557
FiRE,4.75,0.8813544770895047,8,4.75,3.022545224904571,6.477454775095429
expr_threshold,4.75,1.1299494299683124,8,4.75,2.5352991172621078,6.964700882737892
cellsius,4.875,0.5489437910335498,8,4.875,3.799070169574242,5.950929830425758
RareQ,5.25,0.5590169943749475,8,5.25,4.154326691025103,6.345673308974897
scMalignantFinder,5.625,0.9988833050676427,8,5.625,3.6671887220674204,7.58281127793258
scCAD,5.714285714285714,0.3595159254890833,7,5.714285714285714,5.009634500327111,6.418936928244317
random_baseline,8.625,0.3238992347717331,8,8.625,7.990157499847403,9.259842500152597
DeepScena,9.571428571428571,0.20203050891044216,7,9.571428571428571,9.175448773964105,9.967408368893038
