method_id,mean_ap_T1,median_ap_T1,mean_nap_T1,n_units_T1,mean_ap_T2,median_ap_T2,mean_nap_T2,n_units_T2,mean_ap_T3,median_ap_T3,mean_nap_T3,n_units_T3,mean_ap_T4,median_ap_T4,mean_nap_T4,n_units_T4
CaSee,0.6044056038586457,0.702824338832813,0.5739733811137351,40.0,0.5426845252093658,0.6742167341537622,0.5291888611399991,40.0,0.39276859246928486,0.4378281505889928,0.3894766011297407,40.0,0.22497558159726178,0.06171594982078853,0.22446757939664824,40.0
DeepScena,0.07567773529926887,0.0770562859907486,0.0021706511358956693,35.0,0.032170764541581624,0.03248063318802056,0.0013401872629046777,35.0,0.006705124337772562,0.0070220070681947105,0.0014761306165698678,35.0,0.00208429347348982,0.000925925925925926,0.0013895618093050417,35.0
FiRE,0.5222022061691387,0.45860755642704254,0.48513632308268007,40.0,0.45525125887193524,0.4499437432005558,0.4382990525388264,40.0,0.31332776530463746,0.2817883836600936,0.30974070613417704,40.0,0.2493313866073712,0.03554778554778555,0.24883651864440273,40.0
RareQ,0.46084791238049405,0.43890210724782186,0.4182047977191058,40.0,0.41246105082741247,0.365893513354232,0.39408792786919455,40.0,0.1453052419163719,0.022958753173123223,0.1407925800955649,40.0,0.006134298334115492,0.0025174768908928303,0.005454707462467906,40.0
cellsius,0.40736952709826485,0.39017527370549926,0.3604640383966624,40.0,0.517904752350163,0.4925575475277473,0.5027556483331319,40.0,0.14994782756833125,0.029244018540275377,0.14571018750924766,40.0,0.006143396010185489,0.003820753455686438,0.005463862211067579,40.0
expr_threshold,0.5014467087053412,0.5623009946074088,0.46246286099373535,40.0,0.4306857831690306,0.49310414666500624,0.41295243674394666,40.0,0.3065293975879025,0.24215919972797068,0.30271168606953514,40.0,0.20490707037502695,0.00948796409628723,0.2043849601897687,40.0
hvg_logreg,0.8827513409882126,1.0,0.8743327157117683,40.0,0.8785827671207164,1.0,0.875249049510073,40.0,0.8738177589140916,1.0,0.8729965394647923,40.0,1.0,1.0,1.0,40.0
random_baseline,0.07479303229642928,0.07769460644687079,0.0021338724645060692,40.0,0.03414553212966502,0.034836907347704615,0.0039049144128542428,40.0,0.007032234438059837,0.006634639123787438,0.001645791193729573,40.0,0.03313336442910083,0.001580594093963078,0.03246654171371481,40.0
scCAD,0.2616697673229455,0.2492561943817017,0.20234650105288413,35.0,0.392121450756472,0.2996595189800058,0.3725340171880254,35.0,0.24211885685367587,0.057504022445355144,0.23854930465712368,35.0,0.008670992308035277,0.002840909090909091,0.007981593515755184,35.0
scMalignantFinder,0.4997292521201313,0.50414531570405,0.46038181385330407,40.0,0.39080784316019723,0.3302948889039156,0.37267649908962874,40.0,0.27243172239600094,0.16778117852640195,0.2686565414948665,40.0,0.11435483308241519,0.007974329647985768,0.11374758638631007,40.0
