method_id,median_ap_all,n_degenerate,n_total,median_ap_excl_degenerate
CaSee,0.5121271432187728,20,160,0.605548809973544
DeepScena,0.01691288576898305,0,160,0.01691288576898305
FiRE,0.3132580500250046,0,160,0.3132580500250046
RareQ,0.19596530714573362,1,160,0.2083834738474918
cellsius,0.25864436559354087,0,160,0.25864436559354087
expr_threshold,0.3169994598066824,0,160,0.3169994598066824
hvg_logreg,1.0,0,160,1.0
random_baseline,0.01914953661317025,0,160,0.01914953661317025
scCAD,0.0784792283542987,0,160,0.0784792283542987
scMalignantFinder,0.23494355391262015,20,160,0.28994771073293135
