method_id,median_ap_no_cnv,median_ap,spearman_rho,spearman_pvalue
CaSee,0.0095,0.5121271432187728,0.6482299130725303,0.042648729453869764
DeepScena,0.0085,0.0180836680261775,0.6482299130725303,0.042648729453869764
FiRE,0.01,0.3132580500250046,0.6482299130725303,0.042648729453869764
RareQ,0.009,0.1959653071457336,0.6482299130725303,0.042648729453869764
cellsius,0.009,0.2586443655935408,0.6482299130725303,0.042648729453869764
expr_threshold,0.0095,0.3169994598066824,0.6482299130725303,0.042648729453869764
hvg_logreg,0.01,1.0,0.6482299130725303,0.042648729453869764
random_baseline,0.009,0.0191495366131702,0.6482299130725303,0.042648729453869764
scCAD,0.009746753246753247,0.1303273106843962,0.6482299130725303,0.042648729453869764
scMalignantFinder,0.0095,0.2349435539126201,0.6482299130725303,0.042648729453869764
