dataset_id,n_cells,n_positive,n_background,sensitivity,specificity,mcc,auroc
bcc_yost,9566,673,8893,0.7028231797919762,0.7286629933655684,0.24041533567042442,0.8041598739780474
breast_ctc_szczerba,69,67,2,0.26865671641791045,1.0,0.10264286388534141,0.7611940298507462
crc_lee,4134,714,3420,0.2857142857142857,0.9523391812865497,0.3163776731157736,0.892190852949367
hcc_wei,3228,633,2595,0.33175355450236965,0.9144508670520232,0.2871150297145246,0.7473754059788085
hnscc_puram,1470,323,1147,0.7492260061919505,0.970357454228422,0.7629699585815114,0.9062812937775486
luad_laughney,7982,620,7362,0.9564516129032258,0.8103776147785928,0.47451820461875094,0.9603004968846124
ov_izar_tirosh,7141,586,6555,0.7064846416382252,0.9408085430968726,0.5626503979930548,0.8682984356573286
pdac_peng,21416,705,20711,0.6411347517730497,0.9614697503741972,0.45863012402369707,0.9340210824343523
rcc_multi,2805,689,2116,0.2612481857764877,0.9328922495274102,0.2621604332399639,0.759273460070621
overall,57811,5010,52801,0.5560878243512974,0.8947747201757542,0.3609794144314047,0.7822455125732701
