method_id,track_a_median_ap,track_f_median_ap_0.1pct,track_f_median_ap_overall,delta_ap_0.1pct,delta_ap_overall,delta
CaSee,0.5121271432187728,0.0025158061116965,0.040253518892582,-0.5096113371070763,-0.47187362432619084,-0.5096113371070763
DeepScena,0.0180836680261775,0.0012390409733404,0.0071942446043165,-0.016844627052837097,-0.010889423421860998,-0.016844627052837097
FiRE,0.3132580500250046,0.0042671614100185,0.0189779943878304,-0.30899088861498614,-0.29428005563717424,-0.30899088861498614
RareQ,0.1959653071457336,0.0011640117534122,0.005,-0.1948012953923214,-0.1909653071457336,-0.1948012953923214
cellsius,0.2586443655935408,0.001,0.007380073800738,-0.2576443655935408,-0.2512642917928028,-0.2576443655935408
expr_threshold,0.3169994598066824,0.0082118715673848,0.0620300751879699,-0.30878758823929764,-0.25496938461871255,-0.30878758823929764
hvg_logreg,1.0,0.001,0.005,-0.999,-0.995,-0.999
random_baseline,0.0191495366131702,0.0024847341374787,0.0076144932959207,-0.0166648024756915,-0.0115350433172495,-0.0166648024756915
scCAD,0.1303273106843962,0.001,0.005,-0.1293273106843962,-0.1253273106843962,-0.1293273106843962
scMalignantFinder,0.2349435539126201,1.0,1.0,0.7650564460873799,0.7650564460873799,0.7650564460873799
