method_id,prevalence,median_ap,mean_ap,n_units
expr_threshold,0.001,0.00934002633311389,0.03127601601696816,5
expr_threshold,0.005,0.11548192835275724,0.11873210434308923,5
expr_threshold,0.01,0.08262594460372681,0.10265372759727534,5
hvg_logreg,0.001,0.001,0.001,5
hvg_logreg,0.005,0.005,0.005,5
hvg_logreg,0.01,0.01,0.01,5
random_baseline,0.001,0.0012072434607645877,0.0011370677231969841,5
random_baseline,0.005,0.005002811515682101,0.0056772932212662145,5
random_baseline,0.01,0.012227939890573618,0.01258793084277866,5
scCAD,0.001,0.001,0.001114123474688897,5
scCAD,0.005,0.005,0.00487971991578549,5
scCAD,0.01,0.009659235668789809,0.009578559054216621,5
scMalignantFinder,0.001,1.0,0.8048013408261856,5
scMalignantFinder,0.005,0.9163934426229509,0.8970118158092049,5
scMalignantFinder,0.01,0.8615158139351689,0.8547777744853342,5
