,CaSee,DeepScena,FiRE,RareQ,cellsius,expr_threshold,hvg_logreg,random_baseline,scCAD,scMalignantFinder
CaSee,0.0,0.7016015625,0.0776953125,0.34875,0.3234375,0.1509765625,-0.8281640625,0.6769921875,0.4083984375,0.2090234375
DeepScena,-0.7016015625,0.0,-0.774609375,-0.4442578125,-0.4601171875,-0.613984375,-0.9287109375,-0.05578125,-0.42671875,-0.6275390625
FiRE,-0.0776953125,0.774609375,0.0,0.27109375,0.229453125,0.0682421875,-0.7964453125,0.751953125,0.3867578125,0.14640625
RareQ,-0.34875,0.4442578125,-0.27109375,0.0,-0.039296875,-0.209765625,-0.852265625,0.407265625,0.093203125,-0.13640625
cellsius,-0.3234375,0.4601171875,-0.229453125,0.039296875,0.0,-0.1742578125,-0.8453515625,0.426875,0.1298828125,-0.104140625
expr_threshold,-0.1509765625,0.613984375,-0.0682421875,0.209765625,0.1742578125,0.0,-0.8144140625,0.5858203125,0.280390625,0.06421875
hvg_logreg,0.8281640625,0.9287109375,0.7964453125,0.852265625,0.8453515625,0.8144140625,0.0,0.91734375,0.859765625,0.842109375
random_baseline,-0.6769921875,0.05578125,-0.751953125,-0.407265625,-0.426875,-0.5858203125,-0.91734375,0.0,-0.3901953125,-0.5984375
scCAD,-0.4083984375,0.42671875,-0.3867578125,-0.093203125,-0.1298828125,-0.280390625,-0.859765625,0.3901953125,0.0,-0.2375
scMalignantFinder,-0.2090234375,0.6275390625,-0.14640625,0.13640625,0.104140625,-0.06421875,-0.842109375,0.5984375,0.2375,0.0
