method_id,track_a_median_ap,track_f_median_ap_0.1pct,delta
hvg_logreg,1.0,0.001,-0.999
CaSee,0.5121271432187728,0.002472468439430567,-0.5096546747793422
FiRE,0.3132580500250046,0.004927234927234928,-0.3083308150977697
expr_threshold,0.3169994598066824,0.00934002633311389,-0.30765943347356856
cellsius,0.25864436559354087,0.001120347394540943,-0.25752401819899995
RareQ,0.19596530714573362,0.001294113763163976,-0.19467119338256966
scCAD,0.0784792283542987,0.001,-0.0774792283542987
random_baseline,0.01914953661317025,0.0012072434607645877,-0.017942293152405663
DeepScena,0.01691288576898305,0.001,-0.01591288576898305
scMalignantFinder,0.23494355391262015,1.0,0.7650564460873799
