method_id,prevalence,median_ap,mean_ap,median_auroc,n_units
CaSee,0.001,0.002472468439430567,0.0030349827725357063,0.6151151151151151,5
CaSee,0.005,0.012590967698827326,0.030343516996247155,0.7269346733668343,5
CaSee,0.01,0.02145548392844924,0.024762139330055347,0.7449242424242425,5
DeepScena,0.001,0.001,0.0014039012885736755,0.24074074074074076,5
DeepScena,0.005,0.005629123380214582,0.006702482679900479,0.3667839195979899,5
DeepScena,0.01,0.01027920227920228,0.019206232339969338,0.3538888888888889,5
FiRE,0.001,0.004927234927234928,0.005044662433129236,0.6068568568568569,5
FiRE,0.005,0.029984934306546866,0.05884499070186279,0.7406532663316583,5
FiRE,0.01,0.03917570135675829,0.0587978212481635,0.7579797979797981,5
RareQ,0.001,0.001294113763163976,0.0011869066628452424,0.32482482482482483,5
RareQ,0.005,0.0054061626583566825,0.005368568911190865,0.46957286432160805,5
RareQ,0.01,0.008201173116142272,0.008833588152018207,0.30739898989898995,5
cellsius,0.001,0.001120347394540943,0.001041390253385895,0.2197197197197197,5
cellsius,0.005,0.005359058884364295,0.005644336825243826,0.24329145728643214,5
cellsius,0.01,0.012893363393367782,0.01612961400457856,0.4849873737373737,5
expr_threshold,0.001,0.00934002633311389,0.03127601601696816,0.789039039039039,5
expr_threshold,0.005,0.11548192835275724,0.1187321043430892,0.8412814070351758,5
expr_threshold,0.01,0.08262594460372681,0.10265372759727531,0.8448737373737374,5
hvg_logreg,0.001,0.001,0.001,0.5,5
hvg_logreg,0.005,0.005,0.005,0.5,5
hvg_logreg,0.01,0.01,0.01,0.5,5
random_baseline,0.001,0.0012072434607645877,0.0011370677231969841,0.3966466466466466,5
random_baseline,0.005,0.005002811515682101,0.0056772932212662145,0.41723618090452264,5
random_baseline,0.01,0.012227939890573618,0.01258793084277866,0.47345959595959597,5
scCAD,0.001,0.001,0.001114123474688897,0.3440940940940941,5
scCAD,0.005,0.005,0.004879719915785489,0.3444723618090452,5
scCAD,0.01,0.009659235668789809,0.00957855905421662,0.3798232323232324,5
scMalignantFinder,0.001,1.0,0.8048013408261856,1.0,5
scMalignantFinder,0.005,0.9163934426229509,0.8970118158092049,0.9976381909547738,5
scMalignantFinder,0.01,0.8615158139351689,0.8547777744853342,0.9928282828282828,5
