method_id,track,n_units,mean_brier_score,median_brier_score,mean_ece_10,mean_ece_15,mean_ece_20
hvg_logreg,A,160,0.04005628681335914,2.3099001366653454e-05,0.07909633200177563,0.07913455875869055,0.07918622726157341
hvg_logreg,B,120,2.2387967200672875e-06,8.151710198793456e-07,0.0002128770110897904,0.0002128770110897904,0.0002128770110897904
hvg_logreg,C,160,0.050796981078589584,0.00015077399829016984,0.07536451464809532,0.07541651469628803,0.07542964775778045
hvg_logreg,D,30,0.03924381842279572,0.00042606191527996915,0.06987576647855236,0.06987576647855236,0.06987576647855234
hvg_logreg,E,640,0.16630958317257932,0.18600059366077926,0.19355758964122288,0.19489537081072433,0.19482968394971995
random_baseline,A,160,0.3368217702463864,0.336954681679452,0.47620189408503844,0.4765425134174091,0.4767378391483589
random_baseline,B,120,0.33070199431875447,0.32995640313162355,0.4697342816442367,0.46998614626959584,0.47010996860503634
random_baseline,C,160,0.33680110912144057,0.3369598672097728,0.4758533825387194,0.4762185745064027,0.47631045044869963
random_baseline,D,30,0.33559630793008594,0.33422178466989905,0.4790768596980686,0.4801177165124582,0.4793671307182364
random_baseline,E,640,0.3359226694644336,0.3366571955479326,0.3739698327112606,0.37472969639142145,0.37524891090662665
