left_out_dataset,method_id,median_ap_without_dataset,rank_without_dataset,overall_rank,rank_delta
bcc_yost,hvg_logreg,1.0,1,1,0
bcc_yost,CaSee,0.5,2,2,0
bcc_yost,expr_threshold,0.2924994666229392,3,3,0
bcc_yost,FiRE,0.2906543062019406,4,4,0
bcc_yost,cellsius,0.2493588926348536,5,5,0
bcc_yost,scMalignantFinder,0.2001301768537275,6,6,0
bcc_yost,RareQ,0.16887541694346253,7,7,0
bcc_yost,scCAD,0.10541682265816947,8,8,0
bcc_yost,random_baseline,0.019149536613170287,9,9,0
bcc_yost,DeepScena,0.017297853275536325,10,10,0
crc_lee,hvg_logreg,1.0,1,1,0
crc_lee,CaSee,0.5,2,2,0
crc_lee,expr_threshold,0.43641190598387647,3,3,0
crc_lee,FiRE,0.2817883836600936,4,4,0
crc_lee,cellsius,0.2493588926348536,5,5,0
crc_lee,scMalignantFinder,0.18112398721478082,7,6,1
crc_lee,RareQ,0.19596530714573362,6,7,-1
crc_lee,scCAD,0.10541682265816947,8,8,0
crc_lee,random_baseline,0.019149536613170287,9,9,0
crc_lee,DeepScena,0.018083668026177512,10,10,0
hcc_wei,hvg_logreg,1.0,1,1,0
hcc_wei,CaSee,0.5,2,2,0
hcc_wei,expr_threshold,0.2685170250481743,4,3,1
hcc_wei,FiRE,0.373605050504936,3,4,-1
hcc_wei,cellsius,0.2493588926348536,5,5,0
hcc_wei,scMalignantFinder,0.2427315117447097,6,6,0
hcc_wei,RareQ,0.18038116515869657,7,7,0
hcc_wei,scCAD,0.14867355323585385,8,8,0
hcc_wei,random_baseline,0.021281830613443437,9,9,0
hcc_wei,DeepScena,0.018083668026177512,10,10,0
hnscc_puram,hvg_logreg,1.0,1,1,0
hnscc_puram,CaSee,0.4974769983653421,2,2,0
hnscc_puram,expr_threshold,0.19996097471324564,7,3,4
hnscc_puram,FiRE,0.2721486291398049,4,4,0
hnscc_puram,cellsius,0.25864436559354087,5,5,0
hnscc_puram,scMalignantFinder,0.28994771073293135,3,6,-3
hnscc_puram,RareQ,0.24621332548909491,6,7,-1
hnscc_puram,scCAD,0.17857422251963107,8,8,0
hnscc_puram,random_baseline,0.019149536613170287,9,9,0
hnscc_puram,DeepScena,0.01691288576898308,10,10,0
luad_laughney,hvg_logreg,1.0,1,1,0
luad_laughney,CaSee,0.503849143763947,2,2,0
luad_laughney,expr_threshold,0.43641190598387647,3,3,0
luad_laughney,FiRE,0.373605050504936,4,4,0
luad_laughney,cellsius,0.26880551964820676,5,5,0
luad_laughney,scMalignantFinder,0.19821428571428573,6,6,0
luad_laughney,RareQ,0.17531183661410893,7,7,0
luad_laughney,scCAD,0.08966319061448304,8,8,0
luad_laughney,random_baseline,0.019149536613170287,9,9,0
luad_laughney,DeepScena,0.018468635532730752,10,10,0
ov_izar_tirosh,hvg_logreg,1.0,1,1,0
ov_izar_tirosh,CaSee,0.605548809973544,2,2,0
ov_izar_tirosh,expr_threshold,0.25661390939479833,4,3,1
ov_izar_tirosh,FiRE,0.2742298209849894,3,4,-1
ov_izar_tirosh,cellsius,0.24509305342875504,5,5,0
ov_izar_tirosh,scMalignantFinder,0.1983444625680132,6,6,0
ov_izar_tirosh,RareQ,0.17531183661410893,7,7,0
ov_izar_tirosh,scCAD,0.1303273106843962,8,8,0
ov_izar_tirosh,random_baseline,0.022509321652092074,9,9,0
ov_izar_tirosh,DeepScena,0.018083668026177512,10,10,0
pdac_peng,hvg_logreg,1.0,1,1,0
pdac_peng,CaSee,0.5010917030567685,2,2,0
pdac_peng,expr_threshold,0.2978047161353935,3,3,0
pdac_peng,FiRE,0.28991113609956776,4,4,0
pdac_peng,cellsius,0.2857142857142857,5,5,0
pdac_peng,scMalignantFinder,0.25590503695944344,6,6,0
pdac_peng,RareQ,0.21891833461993015,7,7,0
pdac_peng,scCAD,0.1037736305937223,8,8,0
pdac_peng,random_baseline,0.016326650622467454,10,9,1
pdac_peng,DeepScena,0.018083668026177512,9,10,-1
rcc_multi,hvg_logreg,1.0,1,1,0
rcc_multi,CaSee,0.605548809973544,2,2,0
rcc_multi,expr_threshold,0.43641190598387647,3,3,0
rcc_multi,FiRE,0.373605050504936,4,4,0
rcc_multi,cellsius,0.2835753000682092,6,5,1
rcc_multi,scMalignantFinder,0.28994771073293135,5,6,-1
rcc_multi,RareQ,0.22380084983190887,7,7,0
rcc_multi,scCAD,0.13527721104819257,8,8,0
rcc_multi,random_baseline,0.0173020234814145,10,9,1
rcc_multi,DeepScena,0.018083668026177512,9,10,-1
