method_id,mean_ap,median_ap,std_ap,mean_auroc,mean_f1_top_k,mean_runtime_s,n_units,n_datasets,n_fallback,category,breakdown_tier,global_method_fidelity,display_category,note,rank
hvg_logreg,0.9087879667557551,1.0,0.2816529515062729,0.9529196785698687,0.9060888761095376,3.3403125000000005,160,8,0,supervised_ceiling,T4,faithful,supervised_ceiling,CEILING — supervised upper bound,1
CaSee,0.4412085757836396,0.5121271432187728,0.32126176985350485,0.8685397308682041,0.394472055361808,357.4815065264702,160,8,0,exploratory,T2,faithful,exploratory,EXPLORATORY — not ranked against published,2
expr_threshold,0.36089223995932534,0.3169994598066824,0.32077767850005023,0.7372124762611753,0.33857905515629005,15.28590584397316,160,8,0,naive_baseline,T1,faithful,naive_baseline,NAIVE BASELINE,3
FiRE,0.38502815423827064,0.3132580500250046,0.3052914708545191,0.8851609205124508,0.36321690545629476,118.11006643921137,160,8,0,ranked,none,faithful,primary_competitor,PRIMARY COMPETITOR,4
cellsius,0.27034137575673617,0.25864436559354087,0.2774210481644326,0.8324689654823538,0.1719737053059511,39.75057325065136,160,8,0,ranked,none,faithful,primary_competitor,PRIMARY COMPETITOR,5
scMalignantFinder,0.31933091268968616,0.23494355391262017,0.3061760339627296,0.8036402878775931,0.3252349407843115,7.6410300552845,160,8,0,ranked,T1,faithful,primary_competitor,PRIMARY COMPETITOR,6
RareQ,0.25618712586459846,0.19596530714573362,0.2741642432985941,0.8176879242516751,0.17222689297481045,78.20625267773866,160,8,0,ranked,none,faithful,primary_competitor,PRIMARY COMPETITOR,7
scCAD,0.22614526681028216,0.1303273106843962,0.27002312493010083,0.7711850976095109,0.19460480696385493,123.42622031824929,140,7,20,ranked,none,faithful,primary_competitor,PRIMARY COMPETITOR,8
random_baseline,0.03727604082331375,0.019149536613170287,0.08297317075649398,0.5105129977767437,0.03119646614978163,11.57241041213274,160,8,0,naive_baseline,none,faithful,floor_baseline,FLOOR — naive baseline,9
DeepScena,0.029159479413028214,0.018083668026177512,0.030548290175061575,0.4714003337718632,0.026271117555385155,80.62010046413967,140,7,20,ranked,none,faithful,primary_competitor,PRIMARY COMPETITOR,10
