method_id,dataset_id,mean_ap,median_ap,std_ap,mean_auroc,mean_f1_top_k,mean_runtime_s,n_units,n_fallback,category,breakdown_tier
hvg_logreg,bcc_yost,1.0,1.0,2.5470262995437506e-17,1.0,1.0,3.0105,20,0,supervised_ceiling,T4
CaSee,bcc_yost,0.6078735041732667,0.7145181863082262,0.2831743924355514,0.9735277880366034,0.5350049228487544,421.8405907988548,20,0,exploratory,T2
expr_threshold,bcc_yost,0.4737926304815536,0.5374951320639518,0.2669564633229488,0.8842133142993218,0.4410733782906745,10.15641597509384,20,0,naive_baseline,T2
cellsius,bcc_yost,0.4128657294096916,0.4634431274219284,0.3969207883798299,0.8429656750965091,0.2813968984070075,51.65662544965744,20,0,ranked,T2
scCAD,bcc_yost,0.3664597772665203,0.4331910040893882,0.34219206956667,0.7608996144338277,0.3109412149152732,173.7062530398369,20,0,ranked,T2
RareQ,bcc_yost,0.3574791385602457,0.3965106963320982,0.3171650558624652,0.7957320259758918,0.2811150407821698,68.15924977064132,20,0,ranked,T3
FiRE,bcc_yost,0.3467355817246632,0.3598619781817134,0.2023679910365931,0.8304915606526784,0.3536028234013761,60.90780408382416,20,0,ranked,none
scMalignantFinder,bcc_yost,0.3107013373455211,0.391514803168816,0.1996143541621021,0.90170125868342,0.3011004393497659,12.61408680677414,20,0,ranked,T1
DeepScena,bcc_yost,0.0304815254887259,0.0180836680261775,0.0313738036524666,0.4971540688024892,0.0302973824095281,85.9307463645935,20,0,ranked,none
random_baseline,bcc_yost,0.0298122831916946,0.0187088141168418,0.0307447949005623,0.4947496540900973,0.0271561394668363,7.207289719581604,20,0,naive_baseline,none
hvg_logreg,crc_lee,0.9998348217439867,1.0,0.0005021535936906,0.9999912796051122,0.9979755778812384,2.843,20,0,supervised_ceiling,T4
scMalignantFinder,crc_lee,0.8372980397170353,0.9432411450515472,0.2543663553046609,0.94667225120557,0.8019715760964834,6.1386523127555845,20,0,ranked,T4
FiRE,crc_lee,0.6414995985861925,0.7444857120744027,0.2724552603159046,0.9852064477838712,0.578210767505632,170.2533950686455,20,0,ranked,T3
CaSee,crc_lee,0.6210895306427031,0.7693692662885401,0.3189539701807081,0.9752802240970476,0.5894709764199069,426.931704735756,20,0,exploratory,T3
RareQ,crc_lee,0.4103535304435376,0.2561583969465648,0.4325738328359202,0.6968510438646719,0.3760866491036486,81.17381802797317,20,0,ranked,T2
scCAD,crc_lee,0.3789996017234138,0.1705910584782547,0.4297700417475084,0.7864430841046702,0.361849965526282,140.6658440351486,20,0,ranked,T3
cellsius,crc_lee,0.3450652353428841,0.3682737518012287,0.343095129530871,0.8391131972921313,0.2553244554787545,28.82429817914963,20,0,ranked,T2
expr_threshold,crc_lee,0.06466720444876,0.0368547236243015,0.0663148678125028,0.5296527818483525,0.0876126880260512,12.04570393562317,20,0,naive_baseline,none
random_baseline,crc_lee,0.0307465024429529,0.02150985449014,0.0329948576197063,0.4613104748952146,0.0279000854276932,7.342268276214599,20,0,naive_baseline,none
DeepScena,crc_lee,0.0298435088582653,0.015765199900591,0.0323617513959026,0.5069951410281692,0.0276921808236453,84.43252811431884,20,0,ranked,none
hvg_logreg,hcc_wei,0.9948180816276524,1.0,0.0156825976940488,0.999672400359979,0.9870190274841436,3.5035,20,0,supervised_ceiling,T4
CaSee,hcc_wei,0.4908083260862277,0.5996541675899328,0.2607560753887583,0.8534026301987934,0.4581627852595407,395.59244335889815,20,0,exploratory,T3
expr_threshold,hcc_wei,0.4555842516636314,0.5515229478275314,0.2489993555531534,0.6843803996287631,0.437582506198453,16.69436526298523,20,0,naive_baseline,T3
cellsius,hcc_wei,0.2612444695532022,0.3662732863903758,0.2410386106613032,0.7724604178712628,0.2700107661837196,42.20522655248642,20,0,ranked,T2
scMalignantFinder,hcc_wei,0.2368842885826407,0.1848557692307692,0.1882789175111955,0.7245638734520111,0.2815666818366298,6.130210220813751,20,0,ranked,none
RareQ,hcc_wei,0.2154414963024411,0.2089397117212256,0.211610471726911,0.7644751128474784,0.2254031288025555,74.61056731939316,20,0,ranked,none
scCAD,hcc_wei,0.155723752811933,0.0554616456448308,0.2012503430842482,0.6634743776669044,0.1707953260468617,115.548898935318,20,0,ranked,T2
FiRE,hcc_wei,0.1430450612167942,0.150140801894317,0.120714233723385,0.7992517457851269,0.1572761113159136,141.40099773406982,20,0,ranked,none
random_baseline,hcc_wei,0.0280057506916818,0.0154828524389676,0.0295573959325069,0.5414742947207156,0.0257793129931594,8.292901194095611,20,0,naive_baseline,none
DeepScena,hcc_wei,0.0275069317961814,0.0133168713097904,0.031314498627258,0.4345358254953735,0.0265797727576561,85.9594821691513,20,0,ranked,none
hvg_logreg,hnscc_puram,1.0,1.0,7.641078898631252e-17,1.0,1.0,4.754,20,0,supervised_ceiling,T4
expr_threshold,hnscc_puram,0.7871806224597766,0.8708966527731333,0.2327608037021496,0.9783991050092796,0.7011107433030447,26.331305515766143,20,0,naive_baseline,T4
