method_id,n_units,mean_ap,median_ap,sd_ap,mean_nap,mean_auroc,mean_mcc_top_k,mean_runtime_seconds,mean_oracle_gap_vs_hvg_logreg,mean_track_a_rank,method_role,median_ap_rank
hvg_logreg,160,0.9087879667557551,1.0,0.28165295150627284,0.9056445761716585,0.9529196785698687,0.9028494511438216,3.3403125000000005,0.0,1.1,Supervised ceiling,1
CaSee,160,0.4412085757836396,0.5121271432187728,0.32126176985350463,0.4292766056950308,0.8685397308682041,0.3812208521267142,357.4815065264702,0.4675793909721156,3.467857142857143,Exploratory faithful,2
expr_threshold,160,0.36089223995932534,0.3169994598066824,0.3207776785000504,0.3456279859992465,0.7372124762611753,0.32275228663475897,15.28590584397316,0.5478957267964298,5.2821428571428575,Naive baseline,3
FiRE,160,0.38502815423827064,0.3132580500250046,0.30529147085451913,0.37050315010002155,0.8851609205124508,0.3484045086493649,118.11006643921137,0.5237598125174845,4.896428571428571,Published method,4
cellsius,160,0.27034137575673617,0.25864436559354087,0.2774210481644325,0.25359843411252736,0.8324689654823538,0.15014168036201062,39.75057325065136,0.6384465909990189,5.5321428571428575,Published method,5
scMalignantFinder,160,0.31933091268968616,0.23494355391262017,0.3061760339627296,0.3038656102060273,0.8036402878775931,0.31034438997283564,7.6410300552845,0.589457054066069,5.325,Published method,6
RareQ,160,0.25618712586459846,0.19596530714573362,0.2741642432985942,0.23963500328658327,0.8176879242516751,0.15194122124317433,78.20625267773866,0.6526008408911566,5.9035714285714285,Published method,7
scCAD,140,0.22614526681028216,0.1303273106843962,0.27002312493010083,0.20535285410344709,0.7711850976095109,0.17335613050497015,123.42622031824929,0.772847126458819,6.039285714285715,Published method,8
random_baseline,160,0.03727604082331375,0.019149536613170287,0.08297317075649396,0.010037779946201173,0.5105129977767437,0.0037680387794763056,11.57241041213274,0.8715119259324414,8.475,Floor baseline,9
DeepScena,140,0.029159479413028214,0.018083668026177512,0.030548290175061568,0.0015941327061688142,0.4714003337718632,-0.0014211545942993153,80.62010046413967,0.9698329138560732,8.978571428571428,Published method,10
