method_id,dataset_id,mean_ap,median_ap,std_ap,mean_auroc,mean_f1_top_k,mean_runtime_s,n_units,n_fallback,category,breakdown_tier
hvg_logreg,bcc_yost,1.0,1.0,2.5470262995437506e-17,1.0,1.0,3.0105,20,0,supervised_ceiling,T4
CaSee,bcc_yost,0.6078735041732667,0.7145181863082262,0.2831743924355514,0.9735277880366034,0.5350049228487544,421.8405907988548,20,0,exploratory,T2
expr_threshold,bcc_yost,0.4737926304815536,0.5374951320639518,0.2669564633229488,0.8842133142993218,0.4410733782906745,10.156415975093841,20,0,naive_baseline,T2
cellsius,bcc_yost,0.41286572940969163,0.4634431274219284,0.3969207883798299,0.8429656750965091,0.2813968984070075,51.65662544965744,20,0,ranked,T2
scCAD,bcc_yost,0.3664597772665203,0.43319100408938827,0.34219206956667003,0.7608996144338277,0.31094121491527327,173.7062530398369,20,0,ranked,T2
RareQ,bcc_yost,0.35747913856024577,0.3965106963320982,0.3171650558624652,0.7957320259758918,0.2811150407821698,68.15924977064132,20,0,ranked,T3
scMalignantFinder,bcc_yost,0.3107013373455211,0.39151480316881604,0.19961435416210213,0.90170125868342,0.30110043934976594,12.61408680677414,20,0,ranked,T1
FiRE,bcc_yost,0.34673558172466323,0.3598619781817134,0.20236799103659311,0.8304915606526784,0.35360282340137617,60.90780408382416,20,0,ranked,none
random_baseline,bcc_yost,0.02981228319169462,0.018708814116841825,0.030744794900562342,0.4947496540900973,0.027156139466836322,7.207289719581604,20,0,naive_baseline,none
DeepScena,bcc_yost,0.03048152548872593,0.018083668026177512,0.031373803652466684,0.49715406880248925,0.030297382409528166,85.9307463645935,20,0,ranked,none
hvg_logreg,crc_lee,0.9998348217439869,1.0,0.0005021535936906601,0.9999912796051122,0.9979755778812383,2.843,20,0,supervised_ceiling,T4
scMalignantFinder,crc_lee,0.8372980397170353,0.9432411450515472,0.2543663553046609,0.94667225120557,0.8019715760964834,6.1386523127555845,20,0,ranked,T4
CaSee,crc_lee,0.6210895306427031,0.7693692662885401,0.3189539701807081,0.9752802240970475,0.5894709764199069,426.93170473575594,20,0,exploratory,T3
FiRE,crc_lee,0.6414995985861925,0.7444857120744027,0.27245526031590467,0.9852064477838713,0.578210767505632,170.2533950686455,20,0,ranked,T3
cellsius,crc_lee,0.34506523534288414,0.36827375180122873,0.34309512953087107,0.8391131972921313,0.2553244554787545,28.82429817914963,20,0,ranked,T2
RareQ,crc_lee,0.4103535304435376,0.25615839694656484,0.43257383283592027,0.6968510438646719,0.3760866491036486,81.17381802797317,20,0,ranked,T2
scCAD,crc_lee,0.3789996017234138,0.17059105847825476,0.42977004174750844,0.7864430841046702,0.36184996552628207,140.6658440351486,20,0,ranked,T3
expr_threshold,crc_lee,0.06466720444876004,0.03685472362430153,0.06631486781250283,0.5296527818483525,0.08761268802605121,12.04570393562317,20,0,naive_baseline,none
random_baseline,crc_lee,0.030746502442952954,0.021509854490140097,0.03299485761970637,0.46131047489521465,0.027900085427693226,7.342268276214599,20,0,naive_baseline,none
DeepScena,crc_lee,0.02984350885826536,0.015765199900591033,0.03236175139590266,0.5069951410281692,0.02769218082364532,84.43252811431884,20,0,ranked,none
hvg_logreg,hcc_wei,0.9948180816276524,1.0,0.015682597694048825,0.999672400359979,0.9870190274841437,3.5035,20,0,supervised_ceiling,T4
CaSee,hcc_wei,0.4908083260862277,0.5996541675899328,0.2607560753887583,0.8534026301987934,0.4581627852595407,395.59244335889815,20,0,exploratory,T3
expr_threshold,hcc_wei,0.4555842516636314,0.5515229478275314,0.24899935555315345,0.6843803996287631,0.437582506198453,16.69436526298523,20,0,naive_baseline,T3
cellsius,hcc_wei,0.26124446955320224,0.3662732863903758,0.24103861066130325,0.7724604178712628,0.2700107661837196,42.20522655248642,20,0,ranked,T2
RareQ,hcc_wei,0.21544149630244114,0.20893971172122566,0.21161047172691105,0.7644751128474784,0.22540312880255559,74.61056731939316,20,0,ranked,none
scMalignantFinder,hcc_wei,0.2368842885826407,0.18485576923076924,0.18827891751119555,0.7245638734520111,0.28156668183662986,6.130210220813751,20,0,ranked,none
FiRE,hcc_wei,0.14304506121679422,0.150140801894317,0.12071423372338502,0.7992517457851269,0.15727611131591368,141.40099773406982,20,0,ranked,none
scCAD,hcc_wei,0.15572375281193301,0.05546164564483082,0.2012503430842482,0.6634743776669044,0.1707953260468617,115.548898935318,20,0,ranked,T2
random_baseline,hcc_wei,0.028005750691681864,0.015482852438967694,0.029557395932506978,0.5414742947207156,0.025779312993159435,8.292901194095611,20,0,naive_baseline,none
DeepScena,hcc_wei,0.02750693179618146,0.013316871309790401,0.03131449862725809,0.43453582549537356,0.026579772757656134,85.9594821691513,20,0,ranked,none
hvg_logreg,hnscc_puram,1.0,1.0,7.641078898631252e-17,1.0,1.0,4.754,20,0,supervised_ceiling,T4
expr_threshold,hnscc_puram,0.7871806224597766,0.8708966527731333,0.2327608037021496,0.9783991050092796,0.7011107433030447,26.331305515766143,20,0,naive_baseline,T4
